ASV	phylum	class	order	family	genus	purported_species	bin
ASV18	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	NA	Prevotella
ASV19	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	NA	Bifidobacterium
ASV20	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	uniformis	Bacteroides
ASV21	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Anaerostipes	hadrus	Anaerostipes
ASV22	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Subdoligranulum	NA	Subdoligranulum
ASV23	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	NA	NA	Ruminococcaceae
ASV24	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium	faecium	Phascolarctobacterium
ASV25	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	faecis	Blautia
ASV26	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA	Bacteroides
ASV27	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	massiliensis	Bacteroides
ASV28	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter	NA	Agathobacter
ASV29	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	longicatena	Dorea
ASV30	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	obeum	Blautia
ASV31	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Dialister	invisus	Dialister
ASV32	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA	Lachnospiraceae
ASV33	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	NA	Prevotella
ASV34	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus	bicirculans	Ruminococcus
ASV35	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	NA	Bifidobacterium
ASV36	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia-Shigella	NA	Escherichia-Shigella
ASV37	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA	Bacteroides
ASV38	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelotrichaceae	bacterium	Erysipelotrichaceae
ASV39	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA	Bacteroides
ASV40	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium	NA	Eubacterium
ASV41	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA	Bacteroides
ASV42	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA	Bacteroides
ASV43	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA	Bacteroides
ASV44	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	NA	Prevotella
ASV45	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	inulinivorans	Roseburia
ASV46	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	NA	Faecalibacterium
ASV47	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG-002	NA	UCG-002
ASV48	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium	NA	Eubacterium
ASV49	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA	Bacteroides
ASV50	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae	NA	Christensenellaceae
ASV51	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	merdae	Parabacteroides
ASV52	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	NA	Streptococcus
ASV53	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	NA	Prevotella
ASV54	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Romboutsia	NA	Romboutsia
ASV55	Proteobacteria	Gammaproteobacteria	Burkholderiales	Sutterellaceae	Parasutterella	excrementihominis	Parasutterella
ASV56	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	putredinis	Alistipes
ASV57	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	caccae	Bacteroides
ASV58	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium	NA	Eubacterium
ASV59	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae	NA	Lachnospiraceae
ASV60	Proteobacteria	Gammaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella	wadsworthensis	Sutterella
ASV61	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	aerofaciens	Collinsella
ASV62	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Anaerostipes	hadrus	Anaerostipes
ASV63	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus	comes	Coprococcus
ASV64	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG-002	NA	UCG-002
ASV65	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	NA	Clostridium
ASV66	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	pectinoschiza	Lachnospira
ASV67	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Ruminococcus	NA	Ruminococcus
ASV68	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Ruminococcus	NA	Ruminococcus
ASV69	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	NA	Alistipes
ASV70	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	NA	Clostridium
ASV71	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae	NA	Prevotellaceae
ASV72	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium	NA	Lachnoclostridium
ASV73	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Bilophila	wadsworthia	Bilophila
ASV74	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG-002	NA	UCG-002
ASV75	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium	NA	Eubacterium
ASV76	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	prausnitzii	Faecalibacterium
ASV77	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium	NA	Lachnoclostridium
ASV78	Firmicutes	Clostridia	Monoglobales	Monoglobaceae	Monoglobus	NA	Monoglobus
ASV79	Firmicutes	Clostridia	Oscillospirales	Eubacterium	NA	NA	Eubacterium
ASV80	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	formicigenerans	Dorea
ASV81	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Megasphaera	massiliensis	Megasphaera
ASV82	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG-002	NA	UCG-002
ASV83	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	caecimuris	Blautia
ASV84	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium	succinatutens	Phascolarctobacterium
ASV85	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	plebeius	Bacteroides
ASV86	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae	NA	Lachnospiraceae
ASV87	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	NA	Prevotella
ASV88	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	coprocola	Bacteroides
ASV89	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	muciniphila	Akkermansia
ASV90	Firmicutes	Clostridia	Oscillospirales	Eubacterium	NA	NA	Eubacterium
ASV91	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	NA	NA	Oscillospiraceae
ASV92	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	eggerthii	Bacteroides
ASV93	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	NA	Blautia
